Park Name,Park ID,Development Status,Amenities,Facilities,Trails,Amenities + Facilities,Attractions Sum
Barrow Nature Preserve,112,Undeveloped,0,0,0,0,0
Battle Bend Neighborhood Park,117,Developed,15,3,3,18,21
Butler Shores at Town Lake Metro Park,291,Developed,6,25,13,31,44
Bauerle Ranch Park,269,Developed,0,0,6,0,6
Beverly S. Sheffield Northwest District Park,119,Developed,28,23,0,51,51
Buttermilk Neighborhood Park,303,Developed,4,14,11,18,29
Big Stacy Neighborhood Park,120,Developed,0,12,0,12,12
Big Walnut Creek Nature Preserve,369,Undeveloped,0,0,0,0,0
Buttermilk Branch Greenbelt,130,Developed,0,0,4,0,4
Earl J. Pomerleau Pocket Park,400,Undeveloped,0,2,0,2,2
Blowing Sink Research Management Area,121,Undeveloped,0,1,0,1,1
Kendra Page Neighborhood Park,186,Developed,5,3,4,8,12
East Boggy Creek Greenbelt,367,Developed,0,0,8,0,8
Blunn Creek Greenbelt,122,Developed,9,5,1,14,15
East Bouldin Creek Greenbelt,156,Undeveloped,0,0,0,0,0
Blunn Creek Nature Preserve,123,Developed,2,4,6,6,12
Blunn Creek Pocket Park,389,Undeveloped,0,0,0,0,0
Duncan Neighborhood Park,155,Developed,7,2,4,9,13
Kennemer Pool,187,Developed,0,3,0,3,3
Boggy Creek Greenbelt,124,Developed,8,8,20,16,36
Eastwoods Neighborhood Park,157,Developed,16,15,8,31,39
Bolm Road District Park,399,Undeveloped,0,0,0,0,0
Brentwood Neighborhood Park,125,Developed,11,16,8,27,35
Edward Rendon Sr. Metro Park at Festival Beach,293,Developed,52,60,37,112,149
Brownie Pocket Park,327,Developed,3,1,0,4,4
Brushy Creek Greenbelt,326,Undeveloped,0,0,0,0,0
Brush Square Triangle,104,Undeveloped,0,0,0,0,0
Gaines Greenbelt,163,Undeveloped,0,0,0,0,0
Bull Creek District Park,128,Developed,18,12,1,30,31
Adams-Hemphill Neighborhood Park,100,Developed,3,20,0,23,23
Bartholomew District Park,113,Developed,41,61,0,102,102
Alamo Pocket Park,101,Developed,7,7,1,14,15
Alderbrook Pocket Park,385,Undeveloped,0,0,0,0,0
Barton Creek Greenbelt,114,Developed,13,24,27,37,64
Andrews School Park,102,Developed,0,2,0,2,2
Archstone Greenbelt,103,Undeveloped,0,0,0,0,0
Barton Creek Wilderness Park,115,Developed,0,0,0,0,0
Armadillo Neighborhood Park,105,Undeveloped,8,1,2,9,11
Astor Place Pocket Park,405,Undeveloped,0,0,0,0,0
Barton Hills School Park,116,Developed,7,5,1,12,13
Auditorium Shores at Town Lake Metro Park,290,Developed,19,56,13,75,88
"Burnett ""Blondie"" Pharr Tennis Center",243,Developed,18,16,6,34,40
Austin High Tennis Center,107,Developed,0,14,3,14,17
Lamar Senior Activity Center,189,Developed,1,3,0,4,4
Austin Memorial Park Cemetery,392,Developed,0,5,0,5,5
Butler Metro Park,358,Developed,12,47,27,59,86
Austin Recreation Center,108,Developed,0,2,0,2,2
Austin's Colony Neighborhood Park,106,Undeveloped,0,0,0,0,0
Bailey Neighborhood Park,109,Developed,2,10,0,12,12
Latta Branch Greenbelt,190,Developed,16,3,0,19,19
Balcones District Park,110,Developed,22,9,5,31,36
Barrington School Park,111,Developed,8,7,2,15,17
Canyon Vista Pool,131,Developed,0,4,0,4,4
Dove Springs District Park,153,Developed,17,24,18,41,59
Crestland Triangle,118,Undeveloped,0,0,0,0,0
Caswell Tennis Center,133,Developed,0,11,2,11,13
Central Maintenance Complex at Town Lake Metro Park,292,Developed,0,7,0,7,7
Cunningham School Park,147,Developed,3,4,0,7,7
Cherry Creek Neighborhood Park,134,Developed,8,1,1,9,10
Cherrywood Pocket Park,353,Developed,0,0,2,0,2
Davis Hill Neighborhood Park,148,Undeveloped,0,1,0,1,1
Chestnut Pocket Park,135,Developed,7,4,3,11,14
Dougherty Arts Center,359,Developed,0,5,2,5,7
